Feature,Perturbation_Score,Hybrid_Score,Correlation
MaxDegree,1.0,5.876704311370849,0.9999999982983659
Node4_CoreNumber,-1.0,0.8805357217788696,0.9999999886432774
Node1_PageRank,-0.9760655353864516,0.006044256687164307,0.9999983049700122
Node4_PageRank,-0.922692803668626,-0.007627618312835693,0.9999985791334287
Node3_CoreNumber,-0.9154232917562057,5.730943584442139,0.9999999980938726
Node1_NeighborDeg,-0.8993559660655734,0.22482378482818605,0.9999999505431897
Node3_Degree,-0.8698928883404349,-0.1298585891723633,0.9999999114754963
Node2_PageRank,-0.7867263920416054,-0.16138806343078613,0.9999999212401581
Node2_CoreNumber,-0.783207992365776,-0.02092190980911255,0.9999993897310151
Node1_CoreNumber,-0.7775152028293552,-0.03434004783630371,0.9999996254670321
Transitivity,-0.7306513803201387,0.6696875810623169,0.9999999795629816
Node3_LocalEff,-0.6874653849509823,1.101945734024048,0.9999999867995434
Node2_Betweenness,-0.6709150144156926,0.0139556884765625,0.999998931976623
DegreeAssortativity,-0.638860636658205,1.1331327199935912,0.9999999861862024
Node3_Betweenness,-0.6382772160554129,0.19207570552825928,0.9999999184323058
Node2_Closeness,-0.6218862594929884,6.086184930801392,0.9999999973579327
Node3_Clustering,-0.6016048788554654,0.0814787745475769,0.9999997959934679
Node2_NeighborDeg,0.5896866741703393,0.12278141975402831,0.9999998618833693
Node2_Clustering,-0.5818478266405425,0.6848613500595093,0.9999999749049587
Node1_Closeness,-0.5768235612394828,0.1509753704071045,0.9999998851711925
Node1_Degree,-0.5550055680551181,1.4100138187408446,0.9999999872215174
Node1_Betweenness,-0.5141746524025609,3.3131595611572267,0.9999999941298799
GraphDensity,0.5124644734406114,1.607545018196106,0.9999999878612745
AvgDegree,-0.499588408799028,-0.12001290321350097,0.999999833213985
Node2_LocalEff,-0.48814263125403623,1.2162662506103517,0.9999999831568002
Node4_Clustering,-0.45961613760221265,0.9236509323120117,0.9999999764442548
Node3_Eigenvector,-0.4509482321808661,5.700551891326905,0.9999999961099391
Node4_Eigenvector,-0.42919637366940144,2.2784372329711915,0.9999999897739742
Node1_Eigenvector,-0.4234870976845343,2.338380146026611,0.999999989901783
Node2_Eigenvector,-0.3893316016716206,0.08972704410552979,0.9999997137425104
AvgClustering,-0.30756235211566363,1.2355345726013183,0.9999999736844827
Node1_Clustering,-0.27659103418499487,0.07945120334625244,0.9999995449477931
MinDegree,-0.2678628763260368,-0.08545117378234864,0.9999995631128716
AvgPathLength,-0.24515318484084558,15.313897132873535,0.9999999973363526
ConnectedComponents,-0.24101940351773188,0.34332225322723386,0.9999998791501862
Node4_Closeness,-0.21819635758094824,0.7412502527236938,0.999999938171655
Node4_Degree,0.20490095432184585,1.4955297470092774,0.9999999673667034
Node3_PageRank,-0.20436244647427282,-0.1250480055809021,0.99999960868908
Node4_NeighborDeg,-0.1804279818607244,3.184907913208008,0.9999999825979976
Node4_LocalEff,-0.18023899481503225,-0.11292918920516967,0.9999995087021993
Node4_Betweenness,0.13820218045422927,2.7484505653381346,0.9999999736732552
Node1_LocalEff,-0.10853481647510221,0.2713045358657837,0.9999996603952769
Node3_NeighborDeg,0.077781964223395,1.7585649490356445,0.9999999268923795
Node2_Degree,-0.05779465487620272,0.1508579969406128,0.9999988530526289
Node3_Closeness,0.047636263886114305,-0.06585028171539306,0.9999968121103051
